id	marque	designation	annee	km	prix
960	audi	Audi A4 1.9 TDI accidenté	1996	190000	1000
961	peugeot	PEUGEOT 407 . 2&virgule;2 HDI 16V 170CV Executive Pack FAP	2006	146000	9750
962	honda	Honda Cr-v (2) 2.2 CTDI 140 CH EX	2005	115000	14600
963	ford	Ford mondeo 2.0 di 115 ch de2001	2001	116000	6500
964	renault	Megane II 1L9 DCI 120 CV	2003	135000	5500
965	fiat	Fiat Stilo 1.9l JTD 115CH&virgule; année 2002&virgule; 4800\u0080	2002	166000	4800
966	volkswagen	Volkswagen GOLF V 1.9 L TDI 105 SPORT GOLF 5 PORTE	2004	58500	12450
967	seat	Seat leon 1.9 TDI - 105 cv	2008	34000	15500
968	renault	Mégane 2 DCI	2002	135000	6700
969	fiat	"Fiat stilo 1.9l jtd 115 cv ""échange possible"""	2002	140000	5900
970	opel	Opel zafira 2.0 dti 100cv elegance an 2003 7places	2003	121000	6500
971	opel	Opel astra gtc 1.9 l cdti cosmo coupe sport	2006	60000	13000
972	renault	Echange 307 2.0l HDI 136 cv Pack sport	2004	119000	8600
973	peugeot	206 2.0l xs hdi	2000	180000	5000
974	opel	Opel astra 2.16S	1999	79000	4000
975	nissan	Nissan primera 1.9l DCI	2004	95000	9000
976	volkswagen	Volkswagen Golf 1.9 TDI 105 CH confort ling	2007	130000	11800
977	renault	Renault espace 4 - 2.0 dci 150cv	2007	36000	20000
978	abarth	Fiat stilo abarth	2003	117000	4900
979	audi	Véhicule automobile	1997	221000	6700
980	renault	ESPACE 4 1.9dci 120cv authent 10/03 1e main 5990E	2003	165700	5990
981	audi	Audi A4 1.9TDI PACK LUXE 115 CV	2000	168000	9000
982	renault	Laguna II break diesel à saisir	2005	85000	9500
983	renault	BMW preference 2005 118000km ou echange	2005	118000	12300
984	bmw	C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges	2005	67000	11200
985	bmw	C8 2.0 hdi 110cv 09/2004 gps 67000kms 6 sieges	2005	67000	11200
986	renault	Laguna 2 phase 2 dci 110ch confort expression	2005	91500	6850
987	renault	RENAULT RX4 2.0 16V Privilège Pack cuir	2002	114000	5490
988	audi	Seat toledo 2.0 tdi super prix	2006	112000	8390
989	renault	Renault Scenic II 1.9DCI 120CH 2004 118000KM	2004	118000	7200
990	peugeot	Peugeot 407 sw 2.0hdi executive pack	2005	85000	12890
991	renault	Renault grand scenic pack expression 1.9l dci 120	2005	83421	10200
992	volkswagen	"PASSAT 2.0TDI-140 ""1ere MAIN"""	2006	120000	11190
993	audi	Audi A3 2L TDI 170CV S-Line	2007	46000	22750
994	seat	Seat altea 1.9tdi seduce -- prix a debattre -	2009	18200	15500
995	volkswagen	VW PASSAT VI TDI 140 BV6 Cft. 1°MAIN+carnet VW	2005	137000	9990
996	renault	Renault scenic 1.9 dci 120 cv serie luxe dynamique	2004	133642	6700
997	renault	Espace III	2002	118500	6000
998	audi	Audi a 3 1.9 tdi	2002	169000	6000
999	audi	AUDI A3 SPORTBACK 105 ch	2006	133000	12900
1000	ford	Ford Kuga Titanium 2.0 TDI 136cv 	2009	18000	25790
